# wavelength Total_Reflection Total_Transmission Absorption 
5.3 0.7628436685 9.342185359e-009 0.2371563222 
5.35 0.7759552598 9.042030458e-009 0.2240447312 
5.4 0.7860725522 8.78281281e-009 0.213927439 
5.45 0.7961438298 8.566882093e-009 0.2038561616 
5.5 0.804515779 8.366053739e-009 0.1954842126 
5.55 0.812713027 8.209848579e-009 0.1872869648 
5.6 0.8192435503 8.072387758e-009 0.1807564416 
5.65 0.8256553411 7.9505037e-009 0.1743446509 
5.7 0.8313844204 7.865023965e-009 0.1686155717 
5.75 0.8362594843 7.781588818e-009 0.1637405079 
5.8 0.8409274817 7.72690445e-009 0.1590725106 
5.85 0.8454216719 7.68006414e-009 0.1545783205 
5.9 0.8492381573 7.644496813e-009 0.1507618351 
5.95 0.8529330492 7.636980048e-009 0.1470669432 
6 0.8567504287 7.635273747e-009 0.1432495637 
6.05 0.8597840071 7.64826702e-009 0.1402159853 
6.1 0.863361299 7.695720061e-009 0.1366386933 
6.15 0.8663447499 7.76504594e-009 0.1336552423 
6.2 0.8692375422 7.869272234e-009 0.13076245 
6.25 0.8724476695 8.027258303e-009 0.1275523225 
6.3 0.8753889799 8.259072648e-009 0.1246110118 
6.35 0.8778871894 8.585112177e-009 0.122112802 
6.4 0.880602777 9.056113415e-009 0.1193972139 
6.45 0.8831123114 9.732345818e-009 0.1168876789 
6.5 0.8857454658 8.639510773e-009 0.1142545256 
6.55 0.888166368 2.96688546e-009 0.111833629 
6.6 0.890709579 2.95841715e-009 0.1092904181 
6.65 0.8928189278 2.954864117e-009 0.1071810693 
6.7 0.8950510621 2.958246527e-009 0.1049489349 
6.75 0.8969759941 2.96318877e-009 0.1030240029 
6.8 0.8990045786 2.97562234e-009 0.1009954184 
6.85 0.9010376334 2.99471753e-009 0.09896236359 
6.9 0.9027026892 3.015778216e-009 0.09729730781 
6.95 0.9042699933 3.040677809e-009 0.09573000365 
7 0.9060558677 3.070008709e-009 0.09394412926 
7.05 0.9076284766 3.10516444e-009 0.09237152028 
7.1 0.9089682102 3.140297335e-009 0.09103178664 
7.15 0.9103105664 3.178510078e-009 0.0896894304 
7.2 0.9116949439 3.22271399e-009 0.08830505287 
7.25 0.912668407 3.267494345e-009 0.08733158977 
7.3 0.9137464166 3.315675547e-009 0.08625358012 
7.35 0.9148994684 3.370061128e-009 0.08510052821 
7.4 0.9160025716 3.426777073e-009 0.08399742499 
7.45 0.9169051051 3.486948477e-009 0.0830948914 
7.5 0.9178596139 3.551238258e-009 0.08214038255 
7.55 0.9185056686 3.622945997e-009 0.08149432774 
7.6 0.9194671512 3.697085794e-009 0.08053284514 
7.65 0.9199604988 3.77582358e-009 0.08003949741 
7.7 0.9207140207 3.864032681e-009 0.07928597541 
7.75 0.9212204218 3.955153008e-009 0.07877957425 
7.8 0.9218794107 4.054843702e-009 0.0781205852 
7.85 0.9225135446 4.161568438e-009 0.07748645128 
7.9 0.9229364395 4.278472255e-009 0.07706355621 
7.95 0.9235554934 4.402830776e-009 0.07644450224 
8 0.9237505794 4.5335753e-009 0.07624941611 
8.05 0.9243807197 4.676116723e-009 0.07561927566 
8.1 0.924537003 4.827963813e-009 0.07546299213 
8.15 0.9250818491 4.989290987e-009 0.07491814591 
8.2 0.9255887866 5.162012046e-009 0.07441120824 
8.25 0.9258328676 5.345555782e-009 0.07416712703 
8.3 0.9262385964 5.538108533e-009 0.07376139802 
8.35 0.9265456796 5.738615699e-009 0.07345431469 
8.4 0.9269677997 5.95018535e-009 0.07303219439 
8.45 0.9273736477 6.17189167e-009 0.07262634614 
8.5 0.9278214574 6.402286152e-009 0.07217853621 
8.55 0.9281829596 6.638768652e-009 0.0718170338 
8.6 0.9286473393 6.881435206e-009 0.07135265377 
8.65 0.9291306734 7.132960451e-009 0.07086931946 
8.7 0.9295499325 7.38941553e-009 0.07045006013 
8.75 0.9300715923 7.646171258e-009 0.06992840002 
8.8 0.9304410219 7.909991557e-009 0.06955897017 
8.85 0.9308562875 8.172540873e-009 0.06914370435 
8.9 0.9313189387 8.441291228e-009 0.06868105283 
8.95 0.9319761992 8.710622009e-009 0.06802379214 
9 0.9324587584 8.982926632e-009 0.06754123266 
9.05 0.9329821467 9.256489358e-009 0.067017844 
9.1 0.9332647324 9.52787849e-009 0.06673525811 
9.15 0.9337690473 9.803549975e-009 0.06623094294 
9.2 0.9343033433 1.007631667e-008 0.06569664663 
9.25 0.934694171 1.034881559e-008 0.0653058187 
9.3 0.9351540208 1.062637112e-008 0.06484596859 
9.35 0.9355623126 1.090378077e-008 0.06443767649 
9.4 0.9360429645 1.118023052e-008 0.06395702436 
9.45 0.9363223314 1.145766748e-008 0.06367765711 
9.5 0.9367060661 1.174202757e-008 0.06329392213 
9.55 0.9374988079 1.202681466e-008 0.06250118007 
9.6 0.9377076626 1.231599467e-008 0.0622923251 
9.65 0.9378521442 1.26018398e-008 0.06214784316 
9.7 0.9382382631 1.289847385e-008 0.06176172397 
9.75 0.9387298822 1.319834686e-008 0.06127010456 
9.8 0.9389925003 1.349609513e-008 0.0610074862 
9.85 0.9391385317 1.380251691e-008 0.06086145451 
9.9 0.9394725561 1.411258088e-008 0.06052742977 
9.95 0.9397565126 1.442781272e-008 0.06024347293 
10 0.9401177168 1.475256717e-008 0.05988226846 
