# wavelength Total_Reflection Total_Transmission Absorption 
3.745 0.9780386463 3.964449467e-08 0.02196131407 
3.75 0.9780165069 3.943327506e-08 0.02198345369 
3.755 0.9779828526 3.922472131e-08 0.02201710817 
3.76 0.9779727124 3.901994983e-08 0.02202724861 
3.765 0.9779454805 3.881705448e-08 0.02205448069 
3.77 0.977939494 3.861825153e-08 0.02206046743 
3.775 0.977907639 3.842133579e-08 0.02209232258 
3.78 0.9778854474 3.822758999e-08 0.02211451433 
3.785 0.9778720662 3.803674947e-08 0.02212789576 
3.79 0.977849219 3.784832513e-08 0.02215074316 
3.795 0.9778218903 3.766271663e-08 0.02217807207 
3.8 0.9777994193 3.747953823e-08 0.02220054321 
3.805 0.9777877405 3.729975927e-08 0.02221222217 
3.81 0.9777505063 3.712136522e-08 0.02224945663 
3.815 0.9777368456 3.694650973e-08 0.02226311744 
3.82 0.9777117819 3.677353917e-08 0.02228818137 
3.825 0.9776902795 3.660347205e-08 0.02230968391 
3.83 0.9776820466 3.643596951e-08 0.02231791697 
3.835 0.9776349887 3.627019018e-08 0.022364975 
3.84 0.9776157774 3.610683824e-08 0.02238418649 
3.845 0.9775944576 3.594577402e-08 0.02240550649 
3.85 0.9775776528 3.578800736e-08 0.02242231143 
3.855 0.9775526859 3.563163124e-08 0.02244727848 
3.86 0.9775332324 3.547790602e-08 0.0224667321 
3.865 0.977493424 3.532573301e-08 0.02250654071 
3.87 0.9774682634 3.517632611e-08 0.02253170147 
3.875 0.9774364531 3.502897055e-08 0.02256351187 
3.88 0.9774047397 3.488341669e-08 0.02259522541 
3.885 0.9773955829 3.474112201e-08 0.02260438231 
3.89 0.9773805961 3.4600505e-08 0.0226193693 
3.895 0.9773424119 3.446196289e-08 0.02265755366 
3.9 0.9773051478 3.432509608e-08 0.02269481788 
3.905 0.9773082584 3.419126645e-08 0.02269170739 
3.91 0.977246929 3.405736897e-08 0.02275303698 
3.915 0.9772308879 3.392701547e-08 0.02276907821 
3.92 0.9771951549 3.379844411e-08 0.02280481133 
3.925 0.9771556631 3.367194955e-08 0.02284430325 
3.93 0.9771404043 3.35476403e-08 0.02285956217 
3.935 0.9771051779 3.342539713e-08 0.02289478864 
3.94 0.9770864882 3.330465763e-08 0.02291347854 
3.945 0.9770355634 3.318537049e-08 0.02296440338 
3.95 0.977006685 3.306919741e-08 0.02299328194 
3.955 0.9769754373 3.295442555e-08 0.02302452979 
3.96 0.976941321 3.284166973e-08 0.02305864611 
3.965 0.9768809378 3.272972017e-08 0.02311902946 
3.97 0.9768404961 3.262043538e-08 0.02315947132 
3.975 0.9768127352 3.251412192e-08 0.02318723229 
3.98 0.976772029 3.240882271e-08 0.02322793864 
3.985 0.9767197743 3.230630738e-08 0.02328019339 
3.99 0.9766685963 3.220448139e-08 0.02333137153 
3.995 0.9766376279 3.210529535e-08 0.02336233997 
4 0.9765972458 3.200841453e-08 0.02340272221 
4.005 0.9765533507 3.191327481e-08 0.0234466174 
4.01 0.9765121303 3.182097562e-08 0.02348783783 
4.015 0.9764498286 3.172948505e-08 0.02355013968 
4.02 0.9763937145 3.16400397e-08 0.02360625381 
4.025 0.9763106853 3.155248193e-08 0.02368928317 
4.03 0.9762866274 3.146824022e-08 0.02371334118 
4.035 0.9762199149 3.138553584e-08 0.02378005376 
4.04 0.9761656821 3.130516631e-08 0.02383428662 
4.045 0.9760884084 3.122670984e-08 0.02391156039 
4.05 0.9760082401 3.115010791e-08 0.02399172872 
4.055 0.9759457856 3.107689341e-08 0.02405418328 
4.06 0.9758841321 3.100659619e-08 0.02411583691 
4.065 0.9758011028 3.093801623e-08 0.02419886624 
4.07 0.9756948054 3.087135141e-08 0.02430516374 
4.075 0.9756153896 3.080920914e-08 0.02438457955 
4.08 0.9755356535 3.074918875e-08 0.02446431572 
4.085 0.9754326679 3.069119901e-08 0.02456730143 
4.09 0.9753287174 3.063731739e-08 0.02467125198 
4.095 0.9752205238 3.058772576e-08 0.02477944564 
4.1 0.9751362465 3.054117814e-08 0.02486372293 
4.105 0.9749833271 3.049701086e-08 0.02501664241 
4.11 0.9748769477 3.045936961e-08 0.02512302184 
4.115 0.9747243561 3.042529478e-08 0.02527561349 
4.12 0.9745698199 3.039519209e-08 0.02543014974 
4.125 0.9744303003 3.037083747e-08 0.02556966933 
4.13 0.9742626995 3.035258504e-08 0.02573727016 
4.135 0.9740765505 3.031289689e-08 0.02592341923 
